月の出,月の入,月齢
19:57,7:00,17.7
20:27,7:56,18.7
20:57,8:52,19.7
21:30,9:50,20.7
22:06,10:51,21.7
22:49,11:55,22.7
23:39,13:03,23.7
--:--,14:11,24.7
0:37,15:17,25.7
1:43,16:17,26.7
2:54,17:10,27.7
4:05,17:54,28.7
5:13,18:33,0.4
6:18,19:07,1.4
7:20,19:40,2.4
8:19,20:11,3.4
9:17,20:43,4.4
10:14,21:16,5.4
11:11,21:53,6.4
12:08,22:34,7.4
13:04,23:19,8.4
13:58,--:--,9.4
14:49,0:09,10.4
15:35,1:03,11.4
16:16,2:00,12.4
16:53,2:57,13.4
17:27,3:55,14.4
17:59,4:52,15.4
18:29,5:49,16.4
19:00,6:46,17.4
19:32,7:44,18.4
