月の出,月の入,月齢
20:45,7:38,17.7
21:10,8:38,18.7
21:37,9:39,19.7
22:05,10:42,20.7
22:37,11:47,21.7
23:16,12:56,22.7
--:--,14:07,23.7
0:03,15:18,24.7
1:00,16:24,25.7
2:06,17:22,26.7
3:20,18:11,27.7
4:35,18:51,28.7
5:48,19:25,0.4
6:57,19:55,1.4
8:03,20:22,2.4
9:07,20:49,3.4
10:09,21:17,4.4
11:11,21:47,5.4
12:12,22:20,6.4
13:12,22:58,7.4
14:11,23:41,8.4
15:05,--:--,9.4
15:55,0:31,10.4
16:39,1:26,11.4
17:18,2:25,12.4
17:51,3:26,13.4
18:21,4:27,14.4
18:48,5:28,15.4
19:14,6:30,16.4
19:41,7:31,17.4
20:09,8:34,18.4
