月の出,月の入,月齢
23:41,11:55,21.8
--:--,12:20,22.8
0:47,12:44,23.8
1:50,13:08,24.8
2:54,13:34,25.8
3:57,14:03,26.8
5:01,14:37,27.8
6:02,15:16,28.8
7:01,16:02,0.1
7:53,16:55,1.1
8:39,17:52,2.1
9:18,18:52,3.1
9:51,19:53,4.1
10:19,20:54,5.1
10:44,21:54,6.1
11:07,22:55,7.1
11:30,23:57,8.1
11:53,--:--,9.1
12:19,1:01,10.1
12:49,2:10,11.1
13:26,3:23,12.1
14:13,4:39,13.1
15:12,5:54,14.1
16:22,7:03,15.1
17:40,8:01,16.1
19:00,8:48,17.1
20:16,9:25,18.1
21:28,9:56,19.1
22:37,10:23,20.1
23:42,10:47,21.1
--:--,11:12,22.1
