月の出,月の入,月齢
20:24,5:17,16.0
20:58,6:18,17.0
21:27,7:19,18.0
21:54,8:20,19.0
22:19,9:20,20.0
22:44,10:21,21.0
23:10,11:24,22.0
23:39,12:29,23.0
--:--,13:37,24.0
0:14,14:50,25.0
0:55,16:04,26.0
1:47,17:17,27.0
2:50,18:22,28.0
4:02,19:17,29.0
5:19,20:01,0.7
6:35,20:37,1.7
7:47,21:08,2.7
8:55,21:35,3.7
9:59,22:01,4.7
11:02,22:26,5.7
12:03,22:53,6.7
13:04,23:23,7.7
14:04,23:57,8.7
15:04,--:--,9.7
16:01,0:36,10.7
16:55,1:21,11.7
17:42,2:13,12.7
18:24,3:10,13.7
19:00,4:10,14.7
19:31,5:11,15.7
19:58,6:13,16.7
