月の出,月の入,月齢
14:32,4:42,12.1
15:33,5:56,13.1
16:44,7:03,14.1
17:58,7:59,15.1
19:11,8:44,16.1
20:21,9:20,17.1
21:26,9:51,18.1
22:28,10:18,19.1
23:27,10:43,20.1
--:--,11:07,21.1
0:26,11:32,22.1
1:24,12:00,23.1
2:23,12:31,24.1
3:22,13:07,25.1
4:21,13:49,26.1
5:17,14:38,27.1
6:09,15:34,28.1
6:55,16:34,29.1
7:34,17:37,0.3
8:09,18:41,1.3
8:39,19:45,2.3
9:07,20:48,3.3
9:33,21:51,4.3
10:00,22:56,5.3
10:28,--:--,6.3
10:59,0:03,7.3
11:36,1:13,8.3
12:21,2:26,9.3
13:16,3:38,10.3
14:21,4:46,11.3
15:32,5:45,12.3
