月の出,月の入,月齢
14:39,4:48,12.1
15:40,6:01,13.1
16:51,7:08,14.1
18:05,8:04,15.1
19:18,8:49,16.1
20:28,9:26,17.1
21:33,9:57,18.1
22:34,10:24,19.1
23:33,10:49,20.1
--:--,11:14,21.1
0:31,11:39,22.1
1:30,12:07,23.1
2:28,12:38,24.1
3:27,13:14,25.1
4:26,13:56,26.1
5:22,14:45,27.1
6:14,15:41,28.1
7:00,16:41,29.1
7:40,17:44,0.3
8:14,18:48,1.3
8:45,19:51,2.3
9:13,20:54,3.3
9:39,21:57,4.3
10:06,23:02,5.3
10:34,--:--,6.3
11:06,0:09,7.3
11:43,1:19,8.3
12:28,2:31,9.3
13:23,3:43,10.3
14:28,4:51,11.3
15:40,5:50,12.3
