月の出,月の入,月齢
14:31,4:38,12.1
15:33,5:51,13.1
16:43,6:58,14.1
17:57,7:54,15.1
19:10,8:40,16.1
20:19,9:17,17.1
21:24,9:48,18.1
22:25,10:15,19.1
23:24,10:40,20.1
--:--,11:05,21.1
0:22,11:31,22.1
1:20,11:59,23.1
2:19,12:30,24.1
3:18,13:06,25.1
4:16,13:48,26.1
5:12,14:38,27.1
6:04,15:33,28.1
6:50,16:34,29.1
7:30,17:36,0.3
8:05,18:40,1.3
8:36,19:43,2.3
9:04,20:46,3.3
9:30,21:48,4.3
9:57,22:53,5.3
10:26,23:59,6.3
10:58,--:--,7.3
11:35,1:09,8.3
12:21,2:21,9.3
13:16,3:33,10.3
14:20,4:41,11.3
15:32,5:40,12.3
