月の出,月の入,月齢
23:47,12:00,21.8
--:--,12:26,22.8
0:52,12:50,23.8
1:56,13:14,24.8
2:59,13:40,25.8
4:02,14:09,26.8
5:05,14:43,27.8
6:07,15:23,28.8
7:05,16:09,0.1
7:58,17:02,1.1
8:43,17:59,2.1
9:22,18:59,3.1
9:55,19:59,4.1
10:24,21:00,5.1
10:49,22:00,6.1
11:12,23:00,7.1
11:35,--:--,8.1
11:59,0:02,9.1
12:25,1:07,10.1
12:55,2:15,11.1
13:33,3:27,12.1
14:19,4:43,13.1
15:18,5:58,14.1
16:29,7:07,15.1
17:47,8:05,16.1
19:06,8:52,17.1
20:22,9:30,18.1
21:34,10:01,19.1
22:42,10:28,20.1
23:48,10:53,21.1
--:--,11:18,22.1
