月の出,月の入,月齢
13:29,4:42,12.1
14:28,5:59,13.1
15:39,7:05,14.1
16:59,7:57,15.1
18:19,8:37,16.1
19:36,9:07,17.1
20:48,9:31,18.1
21:56,9:52,19.1
23:02,10:11,20.1
--:--,10:29,21.1
0:06,10:48,22.1
1:11,11:10,23.1
2:15,11:35,24.1
3:20,12:06,25.1
4:23,12:45,26.1
5:21,13:32,27.1
6:12,14:29,28.1
6:55,15:33,29.1
7:31,16:41,0.3
8:00,17:51,1.3
8:24,19:02,2.3
8:45,20:11,3.3
9:05,21:21,4.3
9:25,22:33,5.3
9:46,23:47,6.3
10:11,--:--,7.3
10:41,1:04,8.3
11:21,2:23,9.3
12:11,3:40,10.3
13:16,4:49,11.3
14:30,5:46,12.3
