月の出,月の入,月齢
20:12,7:02,17.7
20:37,8:03,18.7
21:02,9:05,19.7
21:29,10:09,20.7
22:01,11:15,21.7
22:38,12:25,22.7
23:24,13:37,23.7
--:--,14:48,24.7
0:20,15:55,25.7
1:27,16:53,26.7
2:40,17:40,27.7
3:56,18:20,28.7
5:10,18:53,0.4
6:21,19:22,1.4
7:28,19:48,2.4
8:33,20:14,3.4
9:37,20:41,4.4
10:39,21:10,5.4
11:41,21:42,6.4
12:42,22:19,7.4
13:41,23:02,8.4
14:36,23:52,9.4
15:26,--:--,10.4
16:10,0:47,11.4
16:48,1:46,12.4
17:20,2:48,13.4
17:49,3:50,14.4
18:16,4:52,15.4
18:41,5:54,16.4
19:06,6:57,17.4
19:33,8:01,18.4
