月の出,月の入,月齢
--:--,12:23,21.8
0:15,12:51,22.8
1:17,13:17,23.8
2:18,13:44,24.8
3:18,14:13,25.8
4:19,14:45,26.8
5:20,15:21,27.8
6:19,16:03,28.8
7:16,16:50,0.1
8:09,17:42,1.1
8:55,18:38,2.1
9:36,19:36,3.1
10:11,20:35,4.1
10:42,21:33,5.1
11:09,22:30,6.1
11:35,23:28,7.1
12:01,--:--,8.1
12:27,0:27,9.1
12:56,1:29,10.1
13:29,2:34,11.1
14:09,3:44,12.1
14:59,4:57,13.1
15:59,6:10,14.1
17:10,7:19,15.1
18:26,8:18,16.1
19:42,9:08,17.1
20:55,9:48,18.1
22:03,10:22,19.1
23:08,10:52,20.1
--:--,11:20,21.1
0:11,11:47,22.1
