月の出,月の入,月齢
14:33,4:49,12.1
15:34,6:03,13.1
16:44,7:09,14.1
17:59,8:05,15.1
19:13,8:49,16.1
20:24,9:25,17.1
21:29,9:56,18.1
22:32,10:22,19.1
23:31,10:46,20.1
--:--,11:10,21.1
0:30,11:35,22.1
1:29,12:02,23.1
2:28,12:32,24.1
3:28,13:08,25.1
4:27,13:50,26.1
5:23,14:39,27.1
6:15,15:35,28.1
7:01,16:36,29.1
7:40,17:39,0.3
8:14,18:43,1.3
8:44,19:47,2.3
9:11,20:51,3.3
9:37,21:55,4.3
10:03,23:00,5.3
10:30,--:--,6.3
11:01,0:08,7.3
11:38,1:19,8.3
12:22,2:32,9.3
13:17,3:44,10.3
14:22,4:52,11.3
15:34,5:51,12.3
