月の出,月の入,月齢
20:14,4:11,16.0
20:43,5:16,17.0
21:07,6:23,18.0
21:28,7:29,19.0
21:48,8:36,20.0
22:07,9:43,21.0
22:27,10:51,22.0
22:50,12:03,23.0
23:17,13:18,24.0
23:53,14:37,25.0
--:--,15:57,26.0
0:39,17:12,27.0
1:40,18:17,28.0
2:55,19:07,29.0
4:16,19:46,0.7
5:39,20:15,1.7
6:58,20:40,2.7
8:13,21:01,3.7
9:24,21:20,4.7
10:33,21:40,5.7
11:40,22:01,6.7
12:46,22:26,7.7
13:53,22:54,8.7
14:57,23:29,9.7
15:57,--:--,10.7
16:51,0:12,11.7
17:37,1:03,12.7
18:15,2:02,13.7
18:46,3:07,14.7
19:12,4:13,15.7
19:34,5:21,16.7
