月の出,月の入,月齢
20:12,7:02,17.7
20:37,8:03,18.7
21:02,9:05,19.7
21:30,10:09,20.7
22:01,11:15,21.7
22:39,12:25,22.7
23:25,13:37,23.7
--:--,14:48,24.7
0:21,15:54,25.7
1:28,16:52,26.7
2:41,17:40,27.7
3:57,18:20,28.7
5:11,18:53,0.4
6:22,19:22,1.4
7:29,19:49,2.4
8:34,20:15,3.4
9:37,20:41,4.4
10:39,21:10,5.4
11:41,21:43,6.4
12:42,22:20,7.4
13:41,23:03,8.4
14:36,23:53,9.4
15:26,--:--,10.4
16:10,0:48,11.4
16:47,1:47,12.4
17:20,2:48,13.4
17:49,3:51,14.4
18:16,4:53,15.4
18:41,5:55,16.4
19:07,6:57,17.4
19:34,8:01,18.4
