月の出,月の入,月齢
23:42,11:53,21.8
--:--,12:19,22.8
0:46,12:45,23.8
1:48,13:10,24.8
2:50,13:37,25.8
3:52,14:07,26.8
4:54,14:42,27.8
5:55,15:22,28.8
6:53,16:09,0.1
7:46,17:01,1.1
8:32,17:58,2.1
9:12,18:57,3.1
9:46,19:57,4.1
10:15,20:57,5.1
10:41,21:56,6.1
11:05,22:55,7.1
11:29,23:56,8.1
11:54,--:--,9.1
12:21,0:59,10.1
12:53,2:06,11.1
13:31,3:17,12.1
14:19,4:32,13.1
15:18,5:47,14.1
16:29,6:55,15.1
17:46,7:54,16.1
19:04,8:42,17.1
20:19,9:21,18.1
21:29,9:53,19.1
22:36,10:21,20.1
23:40,10:47,21.1
--:--,11:13,22.1
