月の出,月の入,月齢
23:59,12:08,21.8
--:--,12:35,22.8
1:02,13:02,23.8
2:03,13:28,24.8
3:04,13:56,25.8
4:05,14:28,26.8
5:06,15:03,27.8
6:07,15:44,28.8
7:04,16:31,0.1
7:56,17:24,1.1
8:43,18:20,2.1
9:23,19:18,3.1
9:58,20:17,4.1
10:28,21:16,5.1
10:55,22:14,6.1
11:21,23:12,7.1
11:45,--:--,8.1
12:11,0:12,9.1
12:40,1:14,10.1
13:12,2:20,11.1
13:52,3:30,12.1
14:40,4:44,13.1
15:40,5:58,14.1
16:51,7:06,15.1
18:07,8:06,16.1
19:24,8:54,17.1
20:38,9:34,18.1
21:47,10:07,19.1
22:53,10:37,20.1
23:56,11:04,21.1
--:--,11:31,22.1
