月の出,月の入,月齢
20:47,7:42,17.7
21:13,8:41,18.7
21:41,9:42,19.7
22:10,10:43,20.7
22:43,11:48,21.7
23:22,12:56,22.7
--:--,14:06,23.7
0:10,15:16,24.7
1:07,16:23,25.7
2:14,17:21,26.7
3:27,18:10,27.7
4:41,18:51,28.7
5:53,19:26,0.4
7:01,19:57,1.4
8:07,20:25,2.4
9:09,20:53,3.4
10:11,21:22,4.4
11:11,21:52,5.4
12:12,22:27,6.4
13:11,23:05,7.4
14:09,23:49,8.4
15:04,--:--,9.4
15:54,0:39,10.4
16:38,1:34,11.4
17:17,2:32,12.4
17:51,3:32,13.4
18:22,4:33,14.4
18:50,5:33,15.4
19:17,6:33,16.4
19:44,7:34,17.4
20:13,8:36,18.4
