月の出,月の入,月齢
20:14,10:34,20.0
21:13,11:43,21.0
22:20,12:45,22.0
23:31,13:37,23.0
--:--,14:20,24.0
0:43,14:56,25.0
1:52,15:26,26.0
3:00,15:54,27.0
4:05,16:20,28.0
5:09,16:46,29.0
6:12,17:13,0.5
7:16,17:43,1.5
8:19,18:17,2.5
9:21,18:56,3.5
10:20,19:41,4.5
11:15,20:32,5.5
12:03,21:27,6.5
12:45,22:26,7.5
13:21,23:26,8.5
13:53,--:--,9.5
14:21,0:27,10.5
14:47,1:29,11.5
15:13,2:31,12.5
15:39,3:34,13.5
16:08,4:40,14.5
16:40,5:50,15.5
17:20,7:03,16.5
18:07,8:18,17.5
19:05,9:31,18.5
20:11,10:37,19.5
21:22,11:33,20.5
