月の出,月の入,月齢
13:44,4:29,12.1
14:44,5:45,13.1
15:55,6:51,14.1
17:12,7:45,15.1
18:29,8:27,16.1
19:43,9:00,17.1
20:52,9:28,18.1
21:57,9:51,19.1
23:00,10:12,20.1
--:--,10:33,21.1
0:02,10:55,22.1
1:04,11:19,23.1
2:06,11:47,24.1
3:08,12:20,25.1
4:09,13:00,26.1
5:06,13:49,27.1
5:58,14:45,28.1
6:43,15:47,29.1
7:20,16:53,0.3
7:51,18:00,1.3
8:18,19:08,2.3
8:42,20:14,3.3
9:05,21:22,4.3
9:28,22:30,5.3
9:52,23:41,6.3
10:19,--:--,7.3
10:53,0:55,8.3
11:34,2:11,9.3
12:27,3:26,10.3
13:31,4:35,11.3
14:45,5:33,12.3
