月の出,月の入,月齢
--:--,12:13,21.8
0:05,12:41,22.8
1:07,13:07,23.8
2:09,13:34,24.8
3:10,14:02,25.8
4:11,14:33,26.8
5:12,15:09,27.8
6:12,15:50,28.8
7:09,16:37,0.1
8:02,17:29,1.1
8:48,18:26,2.1
9:28,19:24,3.1
10:03,20:23,4.1
10:33,21:21,5.1
11:00,22:19,6.1
11:26,23:18,7.1
11:51,--:--,8.1
12:17,0:17,9.1
12:45,1:19,10.1
13:18,2:25,11.1
13:57,3:36,12.1
14:46,4:49,13.1
15:46,6:03,14.1
16:57,7:12,15.1
18:13,8:11,16.1
19:30,9:00,17.1
20:43,9:39,18.1
21:53,10:13,19.1
22:58,10:42,20.1
--:--,11:10,21.1
0:01,11:36,22.1
