月の出,月の入,月齢
20:22,10:45,20.0
21:21,11:54,21.0
22:28,12:56,22.0
23:40,13:48,23.0
--:--,14:31,24.0
0:52,15:06,25.0
2:02,15:36,26.0
3:09,16:04,27.0
4:15,16:29,28.0
5:19,16:55,29.0
6:23,17:22,0.5
7:26,17:52,1.5
8:30,18:26,2.5
9:32,19:04,3.5
10:31,19:49,4.5
11:26,20:40,5.5
12:14,21:36,6.5
12:56,22:35,7.5
13:32,23:35,8.5
14:03,--:--,9.5
14:31,0:36,10.5
14:57,1:38,11.5
15:22,2:40,12.5
15:48,3:44,13.5
16:17,4:51,14.5
16:49,6:00,15.5
17:28,7:14,16.5
18:16,8:29,17.5
19:13,9:42,18.5
20:19,10:48,19.5
21:31,11:44,20.5
