月の出,月の入,月齢
20:49,7:43,17.7
21:15,8:43,18.7
21:41,9:43,19.7
22:10,10:45,20.7
22:43,11:51,21.7
23:22,12:59,22.7
--:--,14:10,23.7
0:09,15:20,24.7
1:06,16:27,25.7
2:13,17:25,26.7
3:26,18:14,27.7
4:40,18:54,28.7
5:53,19:28,0.4
7:02,19:59,1.4
8:08,20:27,2.4
9:11,20:54,3.4
10:13,21:22,4.4
11:14,21:52,5.4
12:15,22:26,6.4
13:15,23:04,7.4
14:13,23:48,8.4
15:08,--:--,9.4
15:58,0:38,10.4
16:42,1:33,11.4
17:20,2:31,12.4
17:54,3:32,13.4
18:24,4:33,14.4
18:52,5:34,15.4
19:18,6:34,16.4
19:45,7:36,17.4
20:14,8:38,18.4
