月の出,月の入,月齢
13:54,4:25,12.1
14:54,5:40,13.1
16:05,6:47,14.1
17:21,7:41,15.1
18:37,8:25,16.1
19:49,8:59,17.1
20:56,9:28,18.1
22:00,9:53,19.1
23:02,10:16,20.1
--:--,10:38,21.1
0:02,11:01,22.1
1:03,11:27,23.1
2:03,11:56,24.1
3:04,12:30,25.1
4:04,13:11,26.1
5:01,13:59,27.1
5:53,14:55,28.1
6:38,15:57,29.1
7:17,17:02,0.3
7:49,18:08,1.3
8:18,19:13,2.3
8:43,20:19,3.3
9:07,21:24,4.3
9:31,22:31,5.3
9:57,23:41,6.3
10:26,--:--,7.3
11:01,0:53,8.3
11:44,2:08,9.3
12:38,3:21,10.3
13:42,4:30,11.3
14:55,5:28,12.3
