月の出,月の入,月齢
20:13,6:56,17.7
20:35,8:00,18.7
20:58,9:05,19.7
21:22,10:12,20.7
21:50,11:21,21.7
22:25,12:34,22.7
23:08,13:49,23.7
--:--,15:02,24.7
0:03,16:09,25.7
1:10,17:05,26.7
2:25,17:51,27.7
3:44,18:27,28.7
5:01,18:57,0.4
6:16,19:22,1.4
7:26,19:46,2.4
8:34,20:09,3.4
9:40,20:33,4.4
10:46,20:59,5.4
11:51,21:28,6.4
12:54,22:03,7.4
13:55,22:45,8.4
14:51,23:34,9.4
15:40,--:--,10.4
16:23,0:30,11.4
16:58,1:31,12.4
17:28,2:35,13.4
17:54,3:40,14.4
18:18,4:45,15.4
18:40,5:50,16.4
19:03,6:56,17.4
19:27,8:03,18.4
