月の出,月の入,月齢
20:37,6:22,16.0
21:16,7:18,17.0
21:50,8:14,18.0
22:22,9:10,19.0
22:53,10:05,20.0
23:23,11:00,21.0
23:55,11:57,22.0
--:--,12:56,23.0
0:30,13:59,24.0
1:10,15:06,25.0
1:57,16:16,26.0
2:53,17:26,27.0
3:57,18:32,28.0
5:08,19:30,29.0
6:20,20:19,0.7
7:30,21:01,1.7
8:36,21:38,2.7
9:37,22:11,3.7
10:36,22:42,4.7
11:32,23:13,5.7
12:28,23:45,6.7
13:24,--:--,7.7
14:19,0:20,8.7
15:15,0:58,9.7
16:10,1:41,10.7
17:03,2:28,11.7
17:52,3:20,12.7
18:36,4:15,13.7
19:16,5:12,14.7
19:52,6:09,15.7
20:25,7:05,16.7
