月の出,月の入,月齢
14:14,4:37,12.1
15:15,5:52,13.1
16:25,6:58,14.1
17:41,7:53,15.1
18:56,8:37,16.1
20:07,9:13,17.1
21:13,9:42,18.1
22:16,10:08,19.1
23:17,10:31,20.1
--:--,10:55,21.1
0:17,11:19,22.1
1:16,11:45,23.1
2:16,12:15,24.1
3:17,12:50,25.1
4:16,13:31,26.1
5:13,14:20,27.1
6:04,15:16,28.1
6:50,16:17,29.1
7:29,17:21,0.3
8:02,18:26,1.3
8:31,19:31,2.3
8:58,20:35,3.3
9:22,21:40,4.3
9:48,22:46,5.3
10:14,23:55,6.3
10:44,--:--,7.3
11:20,1:06,8.3
12:04,2:20,9.3
12:58,3:33,10.3
14:03,4:41,11.3
15:15,5:40,12.3
