月の出,月の入,月齢
--:--,12:34,21.8
0:28,13:02,22.8
1:29,13:30,23.8
2:29,13:57,24.8
3:29,14:27,25.8
4:29,14:59,26.8
5:29,15:36,27.8
6:28,16:18,28.8
7:25,17:05,0.1
8:17,17:58,1.1
9:04,18:54,2.1
9:45,19:51,3.1
10:20,20:49,4.1
10:52,21:47,5.1
11:20,22:43,6.1
11:46,23:41,7.1
12:12,--:--,8.1
12:40,0:39,9.1
13:09,1:40,10.1
13:43,2:44,11.1
14:24,3:53,12.1
15:14,5:06,13.1
16:15,6:19,14.1
17:25,7:28,15.1
18:41,8:27,16.1
19:56,9:17,17.1
21:08,9:58,18.1
22:16,10:33,19.1
23:20,11:03,20.1
--:--,11:32,21.1
0:22,12:00,22.1
