月の出,月の入,月齢
23:51,12:03,21.8
--:--,12:29,22.8
0:55,12:54,23.8
1:58,13:19,24.8
3:00,13:46,25.8
4:03,14:16,26.8
5:05,14:51,27.8
6:06,15:31,28.8
7:04,16:17,0.1
7:56,17:10,1.1
8:42,18:07,2.1
9:22,19:06,3.1
9:56,20:06,4.1
10:25,21:06,5.1
10:51,22:05,6.1
11:15,23:05,7.1
11:39,--:--,8.1
12:03,0:05,9.1
12:30,1:09,10.1
13:02,2:16,11.1
13:40,3:28,12.1
14:27,4:43,13.1
15:27,5:57,14.1
16:37,7:06,15.1
17:54,8:05,16.1
19:13,8:52,17.1
20:28,9:31,18.1
21:39,10:03,19.1
22:46,10:31,20.1
23:50,10:57,21.1
--:--,11:22,22.1
