月の出,月の入,月齢
19:46,10:43,20.0
20:44,11:54,21.0
21:51,12:55,22.0
23:05,13:45,23.0
--:--,14:25,24.0
0:21,14:57,25.0
1:35,15:24,26.0
2:46,15:47,27.0
3:55,16:10,28.0
5:03,16:32,29.0
6:11,16:56,0.5
7:18,17:22,1.5
8:25,17:52,2.5
9:30,18:29,3.5
10:31,19:12,4.5
11:26,20:02,5.5
12:14,20:59,6.5
12:54,22:00,7.5
13:27,23:04,8.5
13:55,--:--,9.5
14:20,0:08,10.5
14:43,1:13,11.5
15:05,2:19,12.5
15:27,3:26,13.5
15:52,4:37,14.5
16:21,5:50,15.5
16:56,7:07,16.5
17:40,8:26,17.5
18:36,9:41,18.5
19:42,10:48,19.5
20:56,11:42,20.5
