月の出,月の入,月齢
23:51,12:01,21.8
--:--,12:28,22.8
0:54,12:54,23.8
1:56,13:20,24.8
2:57,13:48,25.8
3:58,14:19,26.8
4:59,14:55,27.8
6:00,15:36,28.8
6:57,16:23,0.1
7:49,17:15,1.1
8:36,18:11,2.1
9:16,19:10,3.1
9:51,20:09,4.1
10:21,21:08,5.1
10:48,22:06,6.1
11:13,23:04,7.1
11:38,--:--,8.1
12:03,0:04,9.1
12:32,1:06,10.1
13:04,2:12,11.1
13:43,3:23,12.1
14:32,4:37,13.1
15:32,5:51,14.1
16:42,6:59,15.1
17:59,7:59,16.1
19:16,8:47,17.1
20:29,9:27,18.1
21:39,10:00,19.1
22:45,10:29,20.1
23:48,10:56,21.1
--:--,11:23,22.1
