月の出,月の入,月齢
20:34,7:27,17.7
21:00,8:27,18.7
21:26,9:28,19.7
21:54,10:31,20.7
22:26,11:37,21.7
23:05,12:45,22.7
23:51,13:57,23.7
--:--,15:08,24.7
0:48,16:14,25.7
1:55,17:12,26.7
3:08,18:00,27.7
4:23,18:41,28.7
5:36,19:14,0.4
6:46,19:44,1.4
7:52,20:12,2.4
8:56,20:38,3.4
9:59,21:06,4.4
11:00,21:36,5.4
12:02,22:09,6.4
13:02,22:47,7.4
14:00,23:30,8.4
14:55,--:--,9.4
15:45,0:20,10.4
16:29,1:15,11.4
17:07,2:14,12.4
17:41,3:15,13.4
18:10,4:16,14.4
18:38,5:17,15.4
19:04,6:19,16.4
19:30,7:21,17.4
19:58,8:24,18.4
