月の出,月の入,月齢
20:42,10:48,20.0
21:41,11:57,21.0
22:48,12:59,22.0
23:58,13:51,23.0
--:--,14:35,24.0
1:08,15:13,25.0
2:17,15:45,26.0
3:23,16:14,27.0
4:26,16:41,28.0
5:29,17:08,29.0
6:30,17:37,0.5
7:32,18:08,1.5
8:34,18:44,2.5
9:35,19:24,3.5
10:34,20:09,4.5
11:28,21:00,5.5
12:17,21:55,6.5
12:59,22:53,7.5
13:36,23:53,8.5
14:09,--:--,9.5
14:38,0:52,10.5
15:06,1:52,11.5
15:33,2:53,12.5
16:01,3:55,13.5
16:31,4:59,14.5
17:05,6:07,15.5
17:46,7:19,16.5
18:35,8:32,17.5
19:33,9:45,18.5
20:39,10:51,19.5
21:50,11:48,20.5
