月の出,月の入,月齢
20:34,7:25,17.7
20:59,8:26,18.7
21:24,9:28,19.7
21:52,10:31,20.7
22:23,11:38,21.7
23:01,12:48,22.7
23:47,13:59,23.7
--:--,15:11,24.7
0:44,16:17,25.7
1:50,17:15,26.7
3:04,18:03,27.7
4:20,18:42,28.7
5:34,19:15,0.4
6:44,19:44,1.4
7:52,20:11,2.4
8:56,20:37,3.4
9:59,21:03,4.4
11:02,21:32,5.4
12:04,22:05,6.4
13:05,22:42,7.4
14:04,23:25,8.4
14:59,--:--,9.4
15:48,0:15,10.4
16:32,1:10,11.4
17:10,2:09,12.4
17:42,3:11,13.4
18:11,4:13,14.4
18:38,5:15,15.4
19:03,6:17,16.4
19:29,7:20,17.4
19:56,8:24,18.4
