月の出,月の入,月齢
--:--,12:30,21.8
0:26,12:59,22.8
1:26,13:28,23.8
2:25,13:56,24.8
3:24,14:26,25.8
4:24,14:59,26.8
5:23,15:36,27.8
6:22,16:19,28.8
7:18,17:06,0.1
8:11,17:59,1.1
8:58,18:54,2.1
9:39,19:51,3.1
10:15,20:49,4.1
10:47,21:45,5.1
11:16,22:42,6.1
11:43,23:38,7.1
12:10,--:--,8.1
12:37,0:36,9.1
13:08,1:36,10.1
13:43,2:40,11.1
14:24,3:48,12.1
15:15,5:00,13.1
16:16,6:13,14.1
17:26,7:21,15.1
18:41,8:21,16.1
19:56,9:12,17.1
21:07,9:53,18.1
22:14,10:29,19.1
23:18,11:00,20.1
--:--,11:29,21.1
0:19,11:58,22.1
